iter	Logloss
0	0.6615175157
1	0.6317356507
2	0.6058239011
3	0.5790939825
4	0.5558636336
5	0.5339169889
6	0.5135332673
7	0.495320176
8	0.479075075
9	0.4640819446
10	0.4487150749
11	0.4352382211
12	0.4232384464
13	0.4113599805
14	0.4007049321
15	0.390329397
16	0.3816251403
17	0.3730659141
18	0.3648927736
19	0.3575751094
20	0.3512074554
21	0.3445634322
22	0.3389658715
23	0.3331370265
24	0.3282354467
25	0.3233677273
26	0.3189422457
27	0.3146510262
28	0.3108715121
29	0.3075367562
30	0.3042804947
31	0.3013496262
32	0.2985647985
33	0.2957087991
34	0.2932006262
35	0.2907706951
36	0.2882994393
37	0.2861833056
38	0.2842566162
39	0.2822955197
40	0.2806077538
41	0.2790965396
42	0.2773889978
43	0.2757483841
44	0.2743794787
45	0.2731036364
46	0.2720234194
47	0.2709370664
48	0.2697898483
49	0.2686420174
50	0.2677419206
51	0.2667714841
52	0.2657875008
53	0.2648987987
54	0.2640455077
55	0.2633752942
56	0.2625724777
57	0.2618832709
58	0.2611544231
59	0.2606570992
60	0.2600288054
61	0.25946192
62	0.2590166044
63	0.2585009859
64	0.2579769658
65	0.2574997093
66	0.2570197775
67	0.2565746099
68	0.2561268795
69	0.2556762883
70	0.2552587467
71	0.2548679481
72	0.2545140527
73	0.2541672593
74	0.2538123236
75	0.2535238915
76	0.2532272463
77	0.2529198872
78	0.2526236261
79	0.2523717856
80	0.2521181918
81	0.2518635009
82	0.2516066914
83	0.2513671233
84	0.2511390393
85	0.2509349927
86	0.2506927691
87	0.2504750953
88	0.2502779099
89	0.2500811793
90	0.2498711787
91	0.2496811223
92	0.2495006073
93	0.2493085465
94	0.2491008944
95	0.2489146354
96	0.2487393906
97	0.2485572051
98	0.2484323857
99	0.2482869102
100	0.2481753296
101	0.248014513
102	0.2478845044
103	0.2477493396
104	0.2476268951
105	0.2474914756
106	0.2473559473
107	0.247242032
108	0.2471009647
109	0.2469659829
110	0.2468442884
111	0.2467178499
112	0.2466090723
113	0.2465042779
114	0.2463845424
115	0.2462801038
116	0.2461615531
117	0.2460745683
118	0.2459735014
119	0.2458608102
120	0.2457620393
121	0.2456689516
122	0.2455724804
123	0.2454637738
124	0.2453666088
125	0.2452466085
126	0.2451806563
127	0.2450878855
128	0.2449751551
129	0.2448974556
130	0.2448132581
131	0.2447307822
132	0.2446195067
133	0.2445251224
134	0.2444409944
135	0.2443389526
136	0.2442633744
137	0.2441633292
138	0.2440797263
139	0.2440106789
140	0.2439183797
141	0.2438510056
142	0.243744071
143	0.243660239
144	0.2435844509
145	0.2435154238
146	0.2434304945
147	0.2433489277
148	0.2432676439
149	0.2432045353
150	0.2431174198
151	0.2430449806
152	0.2429809264
153	0.2428923073
154	0.2428229471
155	0.2427569657
156	0.2426845027
157	0.2426361111
158	0.2425719675
159	0.2424932385
160	0.2424205365
161	0.2423709516
162	0.2423083334
163	0.2422419963
164	0.2421767519
165	0.2421095881
166	0.2420436744
167	0.2419803353
168	0.2419245538
169	0.2418688489
170	0.2418008426
171	0.2417397399
172	0.2416672125
173	0.2416090117
174	0.2415621479
175	0.2414867816
176	0.2414250851
177	0.2413663076
178	0.2413023336
179	0.2412517858
180	0.241192063
181	0.2411279104
182	0.2410489553
183	0.2409987795
184	0.2409504694
185	0.2408835485
186	0.2408372717
187	0.2407864049
188	0.2407407885
189	0.2406710634
190	0.2406159366
191	0.2405429227
192	0.240494456
193	0.2404328781
194	0.2403813055
195	0.2403257498
196	0.2402758251
197	0.2402174858
198	0.2401739588
199	0.2401238961
200	0.2400643878
201	0.2400164523
202	0.2399613445
203	0.2399107357
204	0.2398582073
205	0.2398131306
206	0.239759767
207	0.2397083684
208	0.2396605365
209	0.2396004663
210	0.2395587352
211	0.2394994052
212	0.2394505733
213	0.239408955
214	0.2393476824
215	0.2393017727
216	0.2392582807
217	0.2392103544
218	0.2391600568
219	0.2391141292
220	0.239060015
221	0.2390114054
222	0.2389597823
223	0.2389199526
224	0.2388800067
225	0.2388429277
226	0.238803728
227	0.2387678228
228	0.2387179503
229	0.2386823321
230	0.2386343663
231	0.2385804577
232	0.2385411956
233	0.2384909432
234	0.2384552845
235	0.2384102214
236	0.2383572646
237	0.2383131975
238	0.2382719317
239	0.2382473845
240	0.2382031762
241	0.2381583492
242	0.2381139389
243	0.2380668922
244	0.2380255479
245	0.2379825018
246	0.2379295253
247	0.237895979
248	0.237862223
249	0.2378210214
250	0.2377718799
251	0.237716855
252	0.2376856332
253	0.2376460374
254	0.2376029049
255	0.2375496136
256	0.2375190057
257	0.2374866334
258	0.2374533675
259	0.2374172398
260	0.2373783031
261	0.2373383721
262	0.2372904402
263	0.2372424884
264	0.2372118506
265	0.2371727509
266	0.237130627
267	0.2371091915
268	0.237072476
269	0.2370264402
270	0.2369872808
271	0.2369403522
272	0.2369061357
273	0.2368759466
274	0.2368481418
275	0.2368133556
276	0.2367716999
277	0.2367292504
278	0.2366868865
279	0.2366463592
280	0.2366060426
281	0.2365747353
282	0.2365460068
283	0.2365049226
284	0.2364718278
285	0.2364306289
286	0.2363981426
287	0.236361642
288	0.2363207557
289	0.2362728186
290	0.2362349799
291	0.2362154637
292	0.2361868635
293	0.2361548379
294	0.2361178322
295	0.2360794084
296	0.2360402386
297	0.2360045086
298	0.2359691339
299	0.2359285583
300	0.235880149
301	0.235850858
302	0.2358141615
303	0.2357691262
304	0.235728308
305	0.2356934055
306	0.2356608409
307	0.2356223404
308	0.2355932444
309	0.2355610489
310	0.2355251036
311	0.2354985205
312	0.2354716989
313	0.2354467215
314	0.2354130595
315	0.2353781087
316	0.235348498
317	0.2353149312
318	0.2352849919
319	0.2352569875
320	0.2352174062
321	0.2351902945
322	0.2351592589
323	0.2351275513
324	0.2350936354
325	0.235061685
326	0.2350251737
327	0.2349989258
328	0.2349675568
329	0.2349296693
330	0.2349049936
331	0.2348676958
332	0.2348252387
333	0.2347941859
334	0.2347489701
335	0.2347036137
336	0.2346662967
337	0.2346286164
338	0.2346054593
339	0.2345772536
340	0.234542605
341	0.2345205463
342	0.2344815924
343	0.2344434562
344	0.2344062375
345	0.2343702071
346	0.2343388811
347	0.2343042356
348	0.2342870358
349	0.2342511152
350	0.2342270998
351	0.2341956158
352	0.2341773402
353	0.2341431926
354	0.2341282256
355	0.2340940141
356	0.2340555202
357	0.2340329907
358	0.2340103394
359	0.2339726771
360	0.2339314388
361	0.2338806267
362	0.2338495793
363	0.2338267739
364	0.2337981972
365	0.2337558182
366	0.2337233274
367	0.2336923186
368	0.2336527061
369	0.2336316725
370	0.2335976465
371	0.2335696838
372	0.2335472954
373	0.2335211302
374	0.2335062009
375	0.233479108
376	0.2334488259
377	0.2333994912
378	0.2333718692
379	0.2333367524
380	0.2333041681
381	0.2332695324
382	0.2332434441
383	0.2332257792
384	0.2331908281
385	0.2331582983
386	0.2331266738
387	0.2331065323
388	0.2330705515
389	0.2330354579
390	0.2330107471
391	0.2329826323
392	0.2329515799
393	0.2329238138
394	0.2328999643
395	0.2328656764
396	0.232841257
397	0.2328139236
398	0.2327700116
399	0.2327393304
400	0.2327155232
