iter	Passed	Remaining
0	97	97048
1	133	66538
2	164	54586
3	195	48766
4	224	44608
5	260	43210
6	292	41560
7	328	40703
8	359	39587
9	390	38642
10	422	37967
11	457	37662
12	492	37417
13	524	36908
14	557	36598
15	590	36331
16	623	36039
17	652	35604
18	686	35468
19	717	35133
20	747	34846
21	780	34679
22	809	34371
23	842	34260
24	876	34189
25	911	34145
26	944	34049
27	982	34095
28	1013	33943
29	1049	33938
30	1080	33762
31	1115	33735
32	1149	33678
33	1185	33685
34	1221	33667
35	1258	33691
36	1296	33735
37	1330	33695
38	1360	33516
39	1392	33410
40	1421	33249
41	1450	33095
42	1483	33007
43	1516	32956
44	1552	32953
45	1587	32920
46	1621	32876
47	1656	32847
48	1692	32857
49	1726	32808
50	1766	32866
51	1796	32755
52	1829	32682
53	1865	32680
54	1900	32660
55	1932	32576
56	1963	32489
57	1998	32458
58	2037	32489
59	2071	32455
60	2108	32450
61	2143	32427
62	2180	32427
63	2217	32424
64	2252	32408
65	2287	32375
66	2322	32343
67	2354	32274
68	2387	32214
69	2419	32141
70	2450	32067
71	2484	32018
72	2523	32047
73	2559	32024
74	2591	31960
75	2628	31962
76	2667	31977
77	2706	31990
78	2742	31972
79	2776	31928
80	2815	31940
81	2848	31893
82	2883	31854
83	2917	31810
84	2949	31750
85	2982	31699
86	3014	31635
87	3046	31569
88	3077	31499
89	3108	31433
90	3141	31383
91	3174	31333
92	3203	31239
93	3236	31196
94	3274	31190
95	3308	31158
96	3345	31148
97	3384	31154
98	3416	31092
99	3449	31041
100	3481	30984
101	3516	30958
102	3552	30936
103	3583	30877
104	3616	30830
105	3651	30793
106	3684	30752
107	3715	30687
108	3754	30688
109	3790	30665
110	3832	30691
111	3867	30664
112	3904	30652
113	3939	30615
114	3976	30600
115	4015	30599
116	4058	30627
117	4100	30646
118	4135	30618
119	4168	30570
120	4201	30521
121	4232	30460
122	4266	30418
123	4303	30401
124	4335	30347
125	4368	30299
126	4399	30242
127	4432	30198
128	4468	30174
129	4505	30152
130	4545	30153
131	4582	30130
132	4620	30119
133	4659	30110
134	4696	30090
135	4733	30071
136	4768	30034
137	4804	30011
138	4845	30014
139	4883	29998
140	4917	29955
141	4950	29911
142	4992	29922
143	5027	29886
144	5065	29870
145	5101	29842
